"column_record_id","record_scope","report_catalog_index","report_title","report_subject_area","report_path","column_index","column_source","column_xml_type","column_id","column_name","report_display_name","table_heading","column_heading","formula_type","formula","bin_rule_count","definition_catalog_index","definition_name","definition_table_heading","definition_column_heading","definition_path","is_resolved","is_referenced"
"C1","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",1,"saved_reference","savedRegularColumnRef","cc18664525476dcbc","UCB Library Stats Category","UCB Library Stats Category",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Library Stats Category",FALSE,
"C2","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",2,"inline","regularColumn","c9732a414ee59ea03","""Location"".""Library Name""","""Location"".""Library Name""",,,"sqlExpression","""Location"".""Library Name""",0,,,,,,,
"C3","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",3,"inline","regularColumn","ccf1c0e7d4c3d9aab","""Location"".""Library Code""","""Location"".""Library Code""",,,"sqlExpression","""Location"".""Library Code""",0,,,,,,,
"C4","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",4,"inline","regularColumn","cebcd31ab3a9d5e54","""Location"".""Location Name""","""Location"".""Location Name""",,,"sqlExpression","""Location"".""Location Name""",0,,,,,,,
"C5","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",5,"inline","regularColumn","c474a504d4f9a06d6","""Location"".""Location Code""","""Location"".""Location Code""",,,"sqlExpression","""Location"".""Location Code""",0,,,,,,,
"C6","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",6,"inline","regularColumn","c6433431bdcd32b5b","""Bibliographic Details"".""Resource Type""","""Bibliographic Details"".""Resource Type""",,,"sqlExpression","""Bibliographic Details"".""Resource Type""",0,,,,,,,
"C7","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",7,"inline","regularColumn","cb8999b65b1f92cfb","Item Creation Date","Item Creation Date","Item Creation Date","Item Creation Date","binned","""Item Creation Date"".""Item Creation Date""",2,,,,,,,
"C8","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",8,"inline","regularColumn","cc48c7957fa06fc85","Holdings","Holdings","Physical Item Details","Holdings","sqlExpression","COUNT(DISTINCT ""Physical Item Details"".""Physical Item Id"")",0,,,,,,,
"C9","report_column",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",9,"inline","regularColumn","c781bf4ff43dd2337","Titles","Titles","Bibliographic Details","Titles","sqlExpression","COUNT(DISTINCT ""Bibliographic Details"".""MMS ID"")",0,,,,,,,
"C10","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",1,"saved_reference","savedRegularColumnRef","cffb7e9e28d0bdcc3","Fulfillment Institution","Fulfillment - Fulfillment Institution",,,"binned","""Institution"".""Institution Name""",12,224,"Fulfillment - Fulfillment Institution","Institution","Fulfillment Institution","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution",TRUE,
