"report_catalog_index","report_title","report_subject_area","report_path","filter_index","group_path","nesting_level","join_operator","filter_source","expression_type","operator","field","filter_text","saved_filter_name","saved_filter_path","value_count","value_preview"
142,"SLF-S Added Physical Holdings and Titles Report part 1","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",6,"1.5.2",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('A0013504139', 'A0013504154', 'A0013510979', 'A0013511241', 'A0013512744', 'A0013513155', 'A0013513163', 'A0013513254', 'A0013514146', 'A0013514542', … (+9989 more))",,,9999,"A0013504139 | A0013504154 | A0013510979 | A0013511241 | A0013512744 | A0013513155 | A0013513163 | A0013513254 | A0013514146 | A0013514542 | … (+9989 more)"
142,"SLF-S Added Physical Holdings and Titles Report part 1","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",7,"1.5.3",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('AX0010723435', 'AX0010723443', 'AX0010723450', 'AX0010723468', 'AX0010723476', 'AX0010723484', 'AX0010723492', 'AX0010723500', 'AX0010723518', 'AX0010723526', … (+9989 more))",,,9999,"AX0010723435 | AX0010723443 | AX0010723450 | AX0010723468 | AX0010723476 | AX0010723484 | AX0010723492 | AX0010723500 | AX0010723518 | AX0010723526 | … (+9989 more)"
142,"SLF-S Added Physical Holdings and Titles Report part 1","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",8,"1.5.4",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('AX0010823516', 'AX0010823524', 'AX0010823532', 'AX0010823540', 'AX0010823557', 'AX0010823565', 'AX0010823573', 'AX0010823581', 'AX0010823599', 'AX0010823607', … (+9989 more))",,,9999,"AX0010823516 | AX0010823524 | AX0010823532 | AX0010823540 | AX0010823557 | AX0010823565 | AX0010823573 | AX0010823581 | AX0010823599 | AX0010823607 | … (+9989 more)"
142,"SLF-S Added Physical Holdings and Titles Report part 1","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",9,"1.5.5",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('DD0004355392', 'DD0004355400', 'DD0004355418', 'DD0004355426', 'DD0004355434', 'DD0004355442', 'DD0004355459', 'DD0004355467', 'DD0004355475', 'DD0004355483', … (+9989 more))",,,9999,"DD0004355392 | DD0004355400 | DD0004355418 | DD0004355426 | DD0004355434 | DD0004355442 | DD0004355459 | DD0004355467 | DD0004355475 | DD0004355483 | … (+9989 more)"
144,"UCR Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4706",,,1,"4706"
144,"UCR Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Fulfillment - FY 2025-26 Loans","Fulfillment - FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",,
144,"UCR Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage",3,"1.3",2,"and","inline","comparison","greater","""Loan"".""Loans (Not In House)""","""Loan"".""Loans (Not In House)"" > 0",,,1,"0"
145,"UCM eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6531, 6534)",,,2,"6531 | 6534"
145,"UCM eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCM')",,,2,"Managed by CDL | Managed by UCM"
148,"UCM Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 6534)",,,3,"6532 | 6533 | 6534"
148,"UCM Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-S', 'UCM')",,,2,"SLF-S | UCM"
148,"UCM Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
