"saved_column_object_index","catalog_index","saved_column_index","object_title","subject_area","original_path","column_caption","column_id","column_path","data_type","formula"
15,222,1,"Fulfillment - Alma User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Alma User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group"""
16,224,1,"Fulfillment - Fulfillment Institution",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""DESCRIPTOR_IDOF(""Fulfillment"".""Institution"".""Institution Name"") = (6532) AND ""Item Location at Time of Loan"".""Library Code"" = 'NRLF'SLF-N""Institution"".""Institution Name""6532UCB""Institution"".""Institution Name""3126UCD""Institution"".""Institution Name""4701UCIDESCRIPTOR_IDOF(""Fulfillment"".""Institution"".""Institution Name"") = (6533) AND ""Item Location at Time of Loan"".""Library Code"" = 'SRLF'SLF-S""Institution"".""Institution Name""6533UCLA""Institution"".""Institution Name""6534UCM""Institution"".""Institution Name""4706UCR""Institution"".""Institution Name""3776UCSB""Institution"".""Institution Name""4876UCSC""Institution"".""Institution Name""6535UCSD""Institution"".""Institution Name""6536UCSFOther - needs investigation"
17,229,1,"Fulfillment - FY 2025-26 Loans (Not In House)",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans (Not In House)","Loan",,,"saw:regularColumn","""Loan"".""Loans (Not In House)"""
18,233,1,"Fulfillment - UCB Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Item Location at Time of Loan"".""Location Code""UNASSIGNEDah92ah9edrrzsea9rqc9mqn9cmuvesxExclude""Item Location at Time of Loan"".""Location Code""buchsma9fma9eev9tgsmtsmf9fmf9emfmfsso9fso9eEquipment""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""OUT_RS_REQIN_RS_REQILL""Item Location at Time of Loan"".""Location Code""anahah9tahuah9aah9lah9dah95ah9gah9jtbtb2tbotb9utb9otb9ptb95tb94tbrtbwtbvtptutuotu94bibicbi9cbifbilbimbi9bbinbbikbirbisbi9dbucbuschchcchnbchpchrdrmamacucbearszweses93es9cesies9mes9bes9dessesweaeaoeateaueaveareaseaxea9wenen9cencen9iensenspevevrevpev2evpoevoevuevsqaqcqclqeqe9fqnqn9kqn9migigrigsititeitiithitpitslblb9lmtmtpmtamcmomo9amo9fmogamo9gmo9mmo9nmo9pmo9ymo9smo9tmumu9mmu9xmucmu9cmuomu9fdnnbqarnbtbrnbtnrnntnrnbqcrnbqernbearnbevrnbcernbitrnbmarnbmnrnbmcrnbmurnbqnrnnclnpuprnbannbahnbbinbbunbchnbesnbeanbennbevnbignbitnblwnbmanbmtnbmunbdnnbphnbsonbssnddondhendlandphndshnlxxnrxxnsxxncmhncmencscnfgenuclnu03unuhtnu01unu02unu03bnu01bnu02bnbphrnbturndsprnlyrrncsprnfsprphpphssososesnbes97eanbeaobennbnbbirnbchrnbdnrndagCheck-OutNew check-out location - needs categorization"
19,235,1,"Fulfillment - UCB User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""Executive/ManagementFaculty/Academic StaffGTU FacultyGTU Staff/Visiting ScholarHoward Hughes InstituteLBNL Academic StaffMathematical Sciences Research InstituteProxy - FacultyStanford FacultyUC Extension FacultyUCB Academic Dept Affiliate No ProxyUCB Post-docUCB Visiting ScholarCampus academic""Borrower Details"".""User Group""Graduate StudentGTU Graduate StudentStanford Graduate StudentCampus graduates""Borrower Details"".""User Group""LBNL Guest/Temp/ContractorLBNL Non-Academic/Post-docLBNL Retired StaffLibrary Departmental CardLibrary DevelopmentLibrary Retired StaffLibrary StaffLLNL Academic StaffLLNL Non-Academic Staff/Post-docLLNL Retired StaffNon-Academic Retired StaffNon-Academic StaffOther UC RetireeUC Office of the PresidentCampus staff""Borrower Details"".""User Group""UC Extension StudentUC Extension Student Non-concurrentUndergraduateUndergraduate - UCB SLECampus undergraduates""Borrower Details"".""User Group""AlumniAlumni LifetimeBotanical Garden DocentFaculty/Academic SpouseFaculty/Academic Staff ChildrenInstitute for Historical StudyNon-Academic Staff SpouseReference Use OnlyUCB Academic Dept AffiliateUCB Alumni Association StaffOther - Campus Other""Borrower Details"".""User Group""CA Private Univ/Coll StudentCA Public School TeachersCA ResidentCA University/Colleges FacultyCA University/Colleges StudentLibrary Non-Affiliated UsersOther UC SpouseCA Private School TeachersDept of Health Services (DHS)ICSI_MSRILibrary VolunteerOther - Non-UCs""Borrower Details"".""User Group""NETWORKNetworkIntercampus Loan (Network)""Borrower Details"".""User Group""ILL Other LibrariesILL UCInterlibrary Loan (ILL)""Borrower Details"".""User Group""Exclude""Borrower Details"".""User Group""SLF-N Departmental CardSLF-N/UCB Google CartTest Patron GraduateTest Patron UndergraduateNRLF Departmental CardNRLF/UCB Google CartExclude""Borrower Details"".""User Group""UC Visiting Scholar/Post-docOther - Other UCsNew user group - needs categorization"
20,239,1,"Fulfillment - UCD Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCD Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Item Location at Time of Loan"".""Library Code"" LIKE 'ILL%'ILL""Item Location at Time of Loan"".""Location Code""ILLOUT_RS_REQILL""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""RLISTRESVTPREPCRESRFRESRESSERESCourse Reserves""Item Location at Time of Loan"".""Location Code""BIOETBMLEXGAMESGENGRESVNEWREFARCHVMRRMLKMEDIAPOPSTXSARESSHLDSBIOVCAMPUSEALEALRFGVMEDGVSTXMANNSHREMMICROOVERASCUCDGROWNPSELRARESPCOLSUPSDEALOVGENSPCheck-OutNew check-out location - needs categorization"
21,240,1,"Fulfillment - UCD User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCD User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""Faculty and StaffLaw FacultyUC Ac.Sen., Ac.Fed. & Clin.Fac.(active & retired)UC Research (active & retired)UCD Ac.Sen., Ac.Fed. & Clin.Fac.(active & retired)UCD Research (active & retired)Campus academic""Borrower Details"".""User Group""Graduate StudentsHealth Sciences Graduate StudentsHealth Sciences ResidentsLaw Students and StaffUC GraduateUCD GraduateUCD Health Sciences GraduateUCD Health Sciences ResidentCampus graduates""Borrower Details"".""User Group""Library InternalLibrary Internal - Long LoanInternal Library StaffInternal Library Staff -- In-house useUC Staff (active & retired)UCD Staff (active & retired)Campus staff""Borrower Details"".""User Group""Undergraduate studentsSpecial UNEX StudentUC UndergraduateUCD Honors Undergraduate (UCD only)Campus undergraduates""Borrower Details"".""User Group""MiscellaneousCA college studentsCourtesy -- AlumniCourtesy 10 limitCourtesy 50 limitFee 5 limitProblem patronsStanfordSuspended AccountTemporary AffiliatesUCD Spouse or Adult ChildOther - Campus Other""Borrower Details"".""User Group""Alumni and CA CommunityLaw Visiting ScholarsLaw PublicOther - Non-UCs""Borrower Details"".""User Group""NetworkIntercampus Loan (Network)""Borrower Details"".""User Group""UCD UndergraduateTestzPurge Health Sciences Residents (only assign for Purge Job)zPurge Miscellaneous (only assign for Purge Job)Exclude""Borrower Details"".""User Group""Exclude""Borrower Details"".""User Group""Interlibrary LoanInterlibrary Loan -- UC Fac/GradInterlibrary Loan (ILL)New user group - needs categorization"
22,242,1,"Fulfillment - UCI Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCI Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""DESCRIPTOR_IDOF(""Fulfillment"".""Institution"".""Institution Name"") =4701 AND ""Item Location at Time of Loan"".""Location Code"" = 'lawcr' AND ""Physical Item Details"".""Item Policy"" = '12 Hours Loan'Equipment""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""UNASSIGNEDsrlfExclude""Item Location at Time of Loan"".""Location Code""gmlmlxllexllckxllhkxeqsaxslkbxslexslkdEquipment""Item Location at Time of Loan"".""Location Code""gmlilllawillllill_rsllawill_rslslillILL""Item Location at Time of Loan"".""Location Code""gmlresllreslawcrslrespermslresslresmediaCourse Reserves""Item Location at Time of Loan"".""Location Code""gmlgseadgocrhgseaallllxllcomlldoseacoleaoseanbgpcagploceakorllldllcppllmicllloblllobillosllbprllpullreflltoslawcslawfdlawrrlawreflawreslawstackslawsupslslbgsldosgpusslmediaslrefmediaslvaultslosllcprearefllledspcollawcdCheck-OutNew check-out location - needs categorization"
23,244,1,"Fulfillment - UCI User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCI User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""UCI Arts FacultyUCI FacultyUCI Faculty DDSUCI Law FacultyUCI LibrarianUCI Arts Faculty DDSUCI Division of Continuing Education FacultyVisiting ScholarCampus academic""Borrower Details"".""User Group""UCI Graduate StudentUCI Law Graduate StudentUCI Law JournalUCI Graduate Student DDSCampus graduates""Borrower Details"".""User Group""UCI Law StaffUCI Law Staff DDSUCI Library StaffUCI Retired StaffUCI StaffUCI Staff DDSCampus staff""Borrower Details"".""User Group""UCI Division of Continuing Education StudentUCI Honors StudentUCI Regents Scholar/UROPUCI Undergraduate StudentCampus undergraduates""Borrower Details"".""User Group""CommunityCommunity College Honors StudentHigh School StudentOther - Campus Other""Borrower Details"".""User Group""Other FacultyOther Graduate StudentOther Undergraduate StudentUCI Law AlumniOther - Non-UCs""Borrower Details"".""User Group""NetworkUC FacultyILL Lending UCIntercampus Loan (Network)""Borrower Details"".""User Group""ILL Lending Non-UCInterlibrary Loan (ILL)""Borrower Details"".""User Group""UCI Library Department CardPURGEExclude""Borrower Details"".""User Group""ExcludeNew user group - needs categorization"
24,246,1,"Fulfillment - UCLA Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCLA Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Item Location at Time of Loan"".""Location Code""5542561600006533arcgabxuechltuerfyrcleanupyrcatsupyrgicExclude""Item Location at Time of Loan"".""Location Code""archromearpubcircartcliccbichromebiocliccbipubcircboechromeboecliccboepubcirccccollegeclasscliccclchromeclicclockecliccpnloccliccpsloccliccynloccliccyslocmgpubcircmuchromemusiccliccsgcliccUNASSIGNEDyrchromecliccpkskcliccykskmgchromeclpubcircyrpubcircEquipment""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""lwillOUT_RS_REQILL""Item Location at Time of Loan"".""Location Code""arcrbirsbirsprscpclrsearslwrslwrspermgcirsmgrsmgrsstrgmurssmcrsyrcipryrrsCourse Reserves""Item Location at Time of Loan"".""Location Code""ararcgarcgabarcgabxxarcgxarcotfarmediaarperarperxarplayarrfarrsarscriptartsTSarxarxx-xxxbibicidpermbicotfbiperbirfbirsclasclclcareerclcookcldispclenigclgrfnclnrfcclofclpermclsustaincltravclvidgamesclzineeaeadiujnleaovereaxeaxxherblsbihilsbirfhistlsyrstaxlwlwcivideolwcixlwcleanuplwofrflwphillwrflwsuperlwtrrlwwilliamsmgcleanupmgnbksmgrfmgsccohimumuclsdmuclsdmmmuclsdsdrmuminimunbksmuxmuxxmuxxxsgsgansgcotfsgdispsgmisgpersgputsmsmavsmcotfsmpersmrspermsmsctallmsrsrarsrar2srbi2srbuosrcasrcksrcrsretsrilsrmnmsrnoncircsrubsruclsrucl2srucl3srucl4srud0srud2srui2srursryr2sryr7sryr8ue123eueabceueaubksuebiogueefolkueestaxueficueficeruefolkueforuenficuepapuepoeuesmalleuesxyryralmiyranyranxyrciyrlcotfyrllostyrmiclsdyrpeyrperyrrisatlyrrisrryrxyrxxyrxxxartsbixcaearfclgamesryr9Check-OutNew check-out location - needs categorization"
25,249,1,"Fulfillment - UCLA User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCLA User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""UCLA Acad - NoLimitUCLA Acad ProxyUCLA AcademicUCLA Law AcademicUCLA Law ProxyUCLA Retired AcademicCampus academic""Borrower Details"".""User Group""UCLA GraduateUCLA Law GradUCLA Mgmt PhDUCLA Music GradUCLA Grad NoLimitCampus graduates""Borrower Details"".""User Group""Internal Use OnlyUCLA Law StaffUCLA Lib Staff RecallUCLA StaffCampus staff""Borrower Details"".""User Group""UCLA Music UndergradUCLA UndergradCampus undergraduates""Borrower Details"".""User Group""Early ChildhoodExtensionExternal 10 - AssociatesExternal 10 - UCLA AlumniGeffen Academy StudentLab School ParentLab School StudentSPRUCLA Retired StaffVGROther - Campus Other""Borrower Details"".""User Group""Access OnlyAP/TAP StudentExternal 10External 20External 200 - FacultyExternal 200 - OtherExternal 5 - OtherExternal 50 - CorporationOther - Non-UCs""Borrower Details"".""User Group""NETWORKNetworkIntercampus Loan (Network)""Borrower Details"".""User Group""ILL Department - Non UCILL Department - UCInterlibrary Loan (ILL)""Borrower Details"".""User Group""Campus patrons - no breakdown""Borrower Details"".""User Group""EHSUCLA Library Staff DepartmentUsers to PurgeExcludeNew user group - needs categorization"
26,250,1,"Fulfillment - UCM Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCM Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""OUT_RS_REQILL""Item Location at Time of Loan"".""Location Code""couresCourse Reserves""Item Location at Time of Loan"".""Location Code""disgenSvcs DeskspcUNASSIGNEDHoldCheck-OutNew check-out location - needs categorization"
27,251,1,"Fulfillment - UCM User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCM User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""UCM FacultyCampus academic""Borrower Details"".""User Group""UCM GraduateCampus graduates""Borrower Details"".""User Group""Library StaffUCM StaffCampus staff""Borrower Details"".""User Group""UCM UndergraduateCampus undergraduates""Borrower Details"".""User Group""UCM AffiliateOther - Campus Other""Borrower Details"".""User Group""CA Community College StudentFee AccountUC Alumni Association MemberCA Public School EmployeeOther - Non-UCs""Borrower Details"".""User Group""NetworkNETWORKIntercampus Loan (Network)""Borrower Details"".""User Group""UCM Interlibrary LoanInterlibrary Loan (ILL)New user group - needs categorization"
28,252,1,"Fulfillment - UCR Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCR Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Physical Item Details"".""Item Policy"" LIKE '%quipment%'EquipmentDESCRIPTOR_IDOF(""Fulfillment"".""Institution"".""Institution Name"") = 4706 AND ""Physical Item Details"".""Item Policy"" LIKE '%eserve%'Course ReservesDESCRIPTOR_IDOF(""Fulfillment"".""Institution"".""Institution Name"") = 4706 AND ""Item Location at Time of Loan"".""Location Name"" LIKE '%eserve%'Course Reserves""Item Location at Time of Loan"".""Location Code""srlfSRLFExclude""Item Location at Time of Loan"".""Location Code""OUT_RS_REQILL""Item Location at Time of Loan"".""Location Code""orbcircorbcmorbneworbpopsciorbreforbstacksorboverwrcaorbshelfnoorbwrcacirccdwrcastacksedcurricedhangingedjuvenileedjuvtinyedmiscedoversizeedtextbookgovcagovpamusgovusrivleisurerivmobyrivcircrivcmrivinfodskrivmedblryrivmediacdrivmedcmflrivmeddvdrivmedrecdrivmedvhsrivmedvdgmrivmfilmrivnewrivrefrivstacksrivflatrivoverrivstyscwrcarivshelfclosesrlfpenrivorbflatwrcacircedjuvbigexhibit1govsmfichesrlfpendwrcamcaseCheck-OutNew check-out location - needs categorization"
29,253,1,"Fulfillment - UCR User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCR User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""Emeritus FacultyUCR AcademicUCR Library StaffProxyCampus academic""Borrower Details"".""User Group""UCR GraduateCampus graduates""Borrower Details"".""User Group""Retired StaffUCR StaffInternal Use - Reserves InstructorCampus staff""Borrower Details"".""User Group""Concurrent EnrollmentUCR UndergraduateCampus undergraduates""Borrower Details"".""User Group""UCR AlumniUCR ExtensionCourtesy - UCR Extension InstructorVolunteer Clinical FacultyOther - Campus Other""Borrower Details"".""User Group""Certificated TeachersCommunity Borrowing CardContractual Agreement - RCC HonorsCourtesy - IB ProgramCourtesy - Spouse/Partner/ChildNon-UC Academic - CSUNon-UC Academic - PrivateNon-UC Academic – Community CollegeProfessional Agreement - CARBProfessional Agreement – Mentor ProgramProfessional Agreement – UnpaidContractual Agreement - Loma LindaContractual Agreement - RedlandsContractual Agreement - StanfordCourtesy - Capstone ProgramCourtesy - PE ReporterProfessional Agreement – USDA Fire LabProfessional Agreement – USDA Salinity LabProfessional Agreement – USDI/GSSpecial – Friends of the CampusSpecial – Independent ScholarOther - Non-UCs""Borrower Details"".""User Group""UC AffiliatesUC AlumniOther - Other UCs""Borrower Details"".""User Group""NetworkIntercampus Loan (Network)""Borrower Details"".""User Group""Non-UC ILLUC ILLNon-UC Academic - OCLCInterlibrary Loan (ILL)""Borrower Details"".""User Group""Internal Staff UseExcludeNew user group - needs categorization"
30,254,1,"Fulfillment - UCSB Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSB Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Item Location at Time of Loan"".""Location Code""NRLFSRLFExclude""Item Location at Time of Loan"".""Library Code"" = 'EQUIP'Equipment""Item Location at Time of Loan"".""Location Code""MAKERSPACEEquipment""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""OUT_RS_REQILL""Item Location at Time of Loan"".""Location Code""RBSFCRBSCourse Reserves""Item Location at Time of Loan"".""Location Code""EGANARAECARTSAROVEGASEGBLBROWSINGEGCTNMACSCURCURJMASIANASNOVEGWMMILRFGPCAGPLOGPMEDGPUSGPUSOMAINMEDIAMAMFCMAMFMMUSMUDSKMUCDMULPMUVIDMUFOLMUMNIMUOVEGNAART_TEMPMAOVMARFSELSELOVARSJCSHPR-SELARGNCARGCOEGCTOASNBRGPCENCIRC_UNCATSPECCheck-OutNew check-out location - needs categorization"
31,255,1,"Fulfillment - UCSB User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSB User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""Faculty, AnnualFaculty, QuarterCampus academic""Borrower Details"".""User Group""Student, AnnualStudent, QuarterCampus graduates""Borrower Details"".""User Group""Staff, QuarterCampus staff""Borrower Details"".""User Group""Student, 3 weekCampus undergraduates""Borrower Details"".""User Group""Community, LimitedCourtesy with Journal PrivilegesOther - Non-UCs""Borrower Details"".""User Group""NETWORKNetworkIntercampus Loan (Network)""Borrower Details"".""User Group""DepartmentProxy, AnnualCorporatePremium Community - DO NOT USEExclude""Borrower Details"".""User Group""Exclude""Borrower Details"".""User Group""Courtesy, 3 week with ILLInterlibrary Loan (ILL)""Borrower Details"".""User Group""Courtesy, QuarterOther - Campus OtherNew user group - needs categorization"
32,256,1,"Fulfillment - UCSC Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSC Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Item Location at Time of Loan"".""Location Code""nrlfNRLFExclude""Item Location at Time of Loan"".""Location Code""mheqpmedequipdsisequpEquipment""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""OUT_RS_REQILL""Item Location at Time of Loan"".""Location Code""mhresmedrescresCourse Reserves""Item Location at Time of Loan"".""Location Code""mycurmycovmgcalmgusmprotmrefmrdskmrovrmstaxmstovmformmfgdespcmedccmedmeddoeastsgamescprosreadsstaxsstovmhmedccmhmedCheck-OutNew check-out location - needs categorization"
33,257,1,"Fulfillment - UCSC User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSC User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""FACULTYCampus academic""Borrower Details"".""User Group""GRADUATECampus graduates""Borrower Details"".""User Group""STAFFCampus staff""Borrower Details"".""User Group""UNDERGRADUATECampus undergraduates""Borrower Details"".""User Group""COURTESYOther - Campus Other""Borrower Details"".""User Group""NETWORKNetworkIntercampus Loan (Network)""Borrower Details"".""User Group""ILL LONG-TERM 3Interlibrary Loan (ILL)""Borrower Details"".""User Group""Exclude""Borrower Details"".""User Group""DefaultEXHIBITSILL LONG-TERM 1ILL LONG-TERM 2ILL SHORT-TERM 1ILL SHORT-TERM 2LIBRARY 1 YEARMEDIA IN HOUSEExcludeNew user group - needs categorization"
34,258,1,"Fulfillment - UCSD Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSD Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Item Location at Time of Loan"".""Location Code""cc_borbotcc_flr2cc_stordeskEquipment""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""OUT_CT_REQOUT_RS_REQIN_CT_REQILL""Item Location at Time of Loan"".""Location Code""res_borbotresres_storCourse Reserves""Item Location at Time of Loan"".""Location Code""vid_borbotcc_radbks_fl1bks_fl5bks_fl6bks_fl7bks_fl8calm_cavecc_fl1cc_fl1_ovdoc_cadoc_sddoc_usdoc_us2ea_oveaovx_fl1ovx_fl6gslgis_refgraph_novindexjrnl_fl1bks_popmaps_cabinmeet_spotmicronew_booksov_fl1ov_fl6pop_scirefvideoaudiobksccdissfilmjrnlovCheck-OutNew check-out location - needs categorization"
35,259,1,"Fulfillment - UCSD User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSD User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""Post DocUC AcademicVisiting ScholarCampus academic""Borrower Details"".""User Group""UC Graduate StudentVisiting Graduate StudentCampus graduates""Borrower Details"".""User Group""UC StaffUCSD Library StaffCampus staff""Borrower Details"".""User Group""UC UndergraduateCampus undergraduates""Borrower Details"".""User Group""UCSD Special AffiliateOther - Campus Other""Borrower Details"".""User Group""PublicOther - Non-UCs""Borrower Details"".""User Group""NETWORKNetworkIntercampus Loan (Network)""Borrower Details"".""User Group""Interlibrary LoanInterlibrary Loan - UCInterlibrary Loan (ILL)""Borrower Details"".""User Group""Internal UseExclude""Borrower Details"".""User Group""ExcludeNew user group - needs categorization"
36,260,1,"Fulfillment - UCSF Check-Out Type",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSF Check-Out Type","Item Location at Time of Loan",,,"saw:regularColumn","""Item Location at Time of Loan"".""Location Code""""Physical Item Details"".""Item Policy"" LIKE '%quipment%'Equipment""Item Location at Time of Loan"".""Location Code""OUT_RS_REQILL""Item Location at Time of Loan"".""Location Code""rbrmbrCourse Reserves""Item Location at Time of Loan"".""Location Code""mbccb4thflovrszpspopbtpoprefCheck-Out""Item Location at Time of Loan"".""Location Code""nrlfxExcludeNew check-out location - needs categorization"
37,261,1,"Fulfillment - UCSF User Group",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSF User Group","Borrower Details",,,"saw:regularColumn","""Borrower Details"".""User Group""""Borrower Details"".""User Group""on-campus usersCampus Subtotal""Borrower Details"".""User Group""off-campus users--no reserveOther - Non-UCs""Borrower Details"".""User Group""NetworkNETWORKIntercampus Loan (Network)""Borrower Details"".""User Group""ILLInterlibrary Loan (ILL)""Borrower Details"".""User Group""Library UnitsCampus staffNew user group - needs categorization"
38,262,1,"Physical - Count of Physical Holdings",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Holdings","Physical Item Details",,,"saw:regularColumn","COUNT(DISTINCT ""Physical Item Details"".""Physical Item Id"")"
39,263,1,"Physical - Count of Physical Titles",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Titles","Bibliographic Details",,,"saw:regularColumn","COUNT(DISTINCT ""Bibliographic Details"".""MMS ID"")"
40,265,1,"Physical - Holdings Added Year",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Holdings Added Year","Item Creation Date",,,"saw:regularColumn","""Item Creation Date"".""Item Creation Date""""Item Creation Date"".""Item Creation Date"" BETWEEN date '2025-07-01' AND date '2026-06-30' Holdings Added 2025-26Holdings added previous years"
