"dependency_index","report_catalog_index","report_title","report_path","dependency_type","dependency_name","dependency_path","resolved_catalog_index","resolved_object_title","resolved_object_kind","is_resolved"
92,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
93,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report","saved_column","Electronic - UCI eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCI eResources Managed By designator",114,"Electronic - UCI eResources Managed By designator","saved_column",TRUE
94,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
95,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
96,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
97,113,"UCLA Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report","saved_column","campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCLA SLF\/campus designator",,,,FALSE
98,113,"UCLA Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report","saved_column","UCLA Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCLA Library Stats Category",,,,FALSE
99,113,"UCLA Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
100,113,"UCLA Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report","saved_column","Count of Physical Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Titles",,,,FALSE
101,116,"UCD User Group Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD User Group Categorization Report","saved_column","UCD User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCD User Group",,,,FALSE
102,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
103,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report","saved_column","Electronic - UCLA eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCLA eResources Managed By designator",143,"Electronic - UCLA eResources Managed By designator","saved_column",TRUE
104,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
105,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
106,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
107,123,"UCLA eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCLA eResources Library Categorization Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
108,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
109,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report","saved_column","Electronic - UCLA eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCLA eResources Managed By designator",143,"Electronic - UCLA eResources Managed By designator","saved_column",TRUE
110,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
111,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
112,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
113,125,"UCM Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCM Risk Management Report","saved_column","campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCM SLF\/campus designator",,,,FALSE
114,125,"UCM Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCM Risk Management Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
115,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage","saved_column","Fulfillment - Fulfillment Institution","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution",224,"Fulfillment - Fulfillment Institution","saved_column",TRUE
116,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage","saved_column","Physical - UCM Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCM Library Stats Category",285,"Physical - UCM Library Stats Category","saved_column",TRUE
117,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage","saved_column","Fulfillment - UCM Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCM Check-Out Type",250,"Fulfillment - UCM Check-Out Type","saved_column",TRUE
118,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage","saved_column","Fulfillment - Alma User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Alma User Group",222,"Fulfillment - Alma User Group","saved_column",TRUE
119,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage","saved_column","Fulfillment - UCM User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCM User Group",251,"Fulfillment - UCM User Group","saved_column",TRUE
120,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage","saved_column","Fulfillment - FY 2025-26 Loans (Not In House)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans (Not In House)",229,"Fulfillment - FY 2025-26 Loans (Not In House)","saved_column",TRUE
121,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1","saved_column","Physical - Systemwide Library Facility","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Systemwide Library Facility",269,"Physical - Systemwide Library Facility","saved_column",TRUE
122,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1","saved_column","Physical - SLF Depositor","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - SLF Depositor",266,"Physical - SLF Depositor","saved_column",TRUE
123,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1","saved_column","Physical - Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Holdings",262,"Physical - Count of Physical Holdings","saved_column",TRUE
124,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1","saved_column","Physical - Count of Physical Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Titles",263,"Physical - Count of Physical Titles","saved_column",TRUE
125,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage","saved_column","Fulfillment - Fulfillment Institution","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution",224,"Fulfillment - Fulfillment Institution","saved_column",TRUE
126,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage","saved_column","Physical - UCR Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCR Library Stats Category",287,"Physical - UCR Library Stats Category","saved_column",TRUE
127,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage","saved_column","Fulfillment - UCR Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCR Check-Out Type",252,"Fulfillment - UCR Check-Out Type","saved_column",TRUE
128,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage","saved_column","Fulfillment - Alma User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Alma User Group",222,"Fulfillment - Alma User Group","saved_column",TRUE
129,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage","saved_column","Fulfillment - UCR User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCR User Group",253,"Fulfillment - UCR User Group","saved_column",TRUE
130,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage","saved_column","Fulfillment - FY 2025-26 Loans (Not In House)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans (Not In House)",229,"Fulfillment - FY 2025-26 Loans (Not In House)","saved_column",TRUE
131,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
132,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report","saved_column","Electronic - UCM eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCM eResources Managed By designator",165,"Electronic - UCM eResources Managed By designator","saved_column",TRUE
133,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
134,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
135,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
136,148,"UCM Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report","saved_column","campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCM SLF\/campus designator",,,,FALSE
137,148,"UCM Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report","saved_column","UCM Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCM Library Stats Category",,,,FALSE
138,148,"UCM Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
139,148,"UCM Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report","saved_column","Count of Physical Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Titles",,,,FALSE
140,151,"UCR Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report","saved_column","campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCR SLF\/campus designator",,,,FALSE
141,151,"UCR Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
142,154,"UCM eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCM eResources Library Categorization Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
143,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
144,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report","saved_column","Electronic - UCM eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCM eResources Managed By designator",165,"Electronic - UCM eResources Managed By designator","saved_column",TRUE
145,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
146,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
147,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
148,164,"UCI Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report","saved_column","UCI Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCI Check-Out Type",,,,FALSE
149,164,"UCI Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report","saved_column","FY 2025-26 Loans (Not In House)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/FY 2025-26 Loans (Not In House)",,,,FALSE
150,166,"UCSB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage","saved_column","Fulfillment - Fulfillment Institution","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution",224,"Fulfillment - Fulfillment Institution","saved_column",TRUE
151,166,"UCSB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage","saved_column","Physical - UCSB Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCSB Library Stats Category",291,"Physical - UCSB Library Stats Category","saved_column",TRUE
152,166,"UCSB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage","saved_column","Fulfillment - UCSB Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSB Check-Out Type",254,"Fulfillment - UCSB Check-Out Type","saved_column",TRUE
