"dependency_index","report_catalog_index","report_title","report_path","dependency_type","dependency_name","dependency_path","resolved_catalog_index","resolved_object_title","resolved_object_kind","is_resolved"
70,74,"SLF-S Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report","saved_column","Physical - Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Holdings",262,"Physical - Count of Physical Holdings","saved_column",TRUE
71,74,"SLF-S Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report","saved_column","Physical - Count of Physical Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Titles",263,"Physical - Count of Physical Titles","saved_column",TRUE
72,83,"UCI Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report","saved_column","campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCI SLF\/campus designator",,,,FALSE
73,83,"UCI Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report","saved_column","UCI Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCI Library Stats Category",,,,FALSE
74,83,"UCI Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
75,83,"UCI Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report","saved_column","Count of Physical Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Titles",,,,FALSE
76,85,"UCI eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCI eResources Library Categorization Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
77,89,"UCD Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD Check-Out Type Categorization Report","saved_column","UCD Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCD Check-Out Type",,,,FALSE
78,89,"UCD Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD Check-Out Type Categorization Report","saved_column","FY 2025-26 Loans (Not In House)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/FY 2025-26 Loans (Not In House)",,,,FALSE
79,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
80,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report","saved_column","Electronic - UCI eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCI eResources Managed By designator",114,"Electronic - UCI eResources Managed By designator","saved_column",TRUE
81,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
82,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
83,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
84,95,"UCLA Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCLA Risk Management Report","saved_column","campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCLA SLF\/campus designator",,,,FALSE
85,95,"UCLA Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCLA Risk Management Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
