"rule_id","rule_type","source_type","record_scope","rule_name","rule_index","criterion_text","review_label","explanation","criterion_text_category","join_operator","value_count","report_catalog_index","report_title","report_path","report_filter_index","definition_catalog_index","definition_name","definition_path"
"RF142-R7","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",7,"""Physical Item Details"".""Barcode"" IN ('AX0010723435', 'AX0010723443', 'AX0010723450', 'AX0010723468', 'AX0010723476', 'AX0010723484', 'AX0010723492', 'AX0010723500', 'AX0010723518', 'AX0010723526', … (+9989 more))","","",,"or",9999,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",7,,,
"RF142-R8","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",8,"""Physical Item Details"".""Barcode"" IN ('AX0010823516', 'AX0010823524', 'AX0010823532', 'AX0010823540', 'AX0010823557', 'AX0010823565', 'AX0010823573', 'AX0010823581', 'AX0010823599', 'AX0010823607', … (+9989 more))","","",,"or",9999,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",8,,,
"RF142-R9","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",9,"""Physical Item Details"".""Barcode"" IN ('DD0004355392', 'DD0004355400', 'DD0004355418', 'DD0004355426', 'DD0004355434', 'DD0004355442', 'DD0004355459', 'DD0004355467', 'DD0004355475', 'DD0004355483', … (+9989 more))","","",,"or",9999,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",9,,,
"RF144-R1","Filter","inline","report_inline","UCR Physical Collection Usage",1,"""Institution"".""Institution Name"" = 4706","","",,"and",1,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage",1,,,
"RF144-R3","Filter","inline","report_inline","UCR Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,144,"UCR Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCR Physical Collection Usage",3,,,
"RF145-R1","Filter","inline","report_inline","UCM eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (6531, 6534)","","",,"and",2,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report",1,,,
"RF145-R2","Filter","inline","report_inline","UCM eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCM')","","",,"and",2,145,"UCM eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCM eResources Comparison Report",2,,,
"RF148-R1","Filter","inline","report_inline","UCM Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 6534)","","",,"and",3,148,"UCM Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report",1,,,
"RF148-R2","Filter","inline","report_inline","UCM Library Categorization Report",2,"""Institution"".""Institution Name"" IN ('SLF-S', 'UCM')","","",,"and",2,148,"UCM Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCM Library Categorization Report",2,,,
"RF151-R1","Filter","inline","report_inline","UCR Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 4706)","","",,"and",3,151,"UCR Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",1,,,
"RF151-R2","Filter","inline","report_inline","UCR Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCR')","","",,"and",3,151,"UCR Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",2,,,
"RF154-R1","Filter","inline","report_inline","UCM eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 6534","","",,,1,154,"UCM eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCM eResources Library Categorization Report",1,,,
"RF162-R1","Filter","inline","report_inline","UCM Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (6531, 6534)","","",,"and",2,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report",1,,,
"RF162-R2","Filter","inline","report_inline","UCM Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCM')","","",,"and",2,162,"UCM Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report",2,,,
"RF164-R1","Filter","inline","report_inline","UCI Check-Out Type Categorization Report",1,"""Institution"".""Institution Name"" = 4701","","",,"and",1,164,"UCI Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report",1,,,
"RF164-R3","Filter","inline","report_inline","UCI Check-Out Type Categorization Report",3,"""Loan Details"".""In House Loan Indicator"" = 'N'","","",,"and",1,164,"UCI Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report",3,,,
"RF166-R1","Filter","inline","report_inline","UCSB Physical Collection Usage",1,"""Institution"".""Institution Name"" = 3776","","",,"and",1,166,"UCSB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage",1,,,
"RF166-R3","Filter","inline","report_inline","UCSB Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,166,"UCSB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage",3,,,
"RF170-R1","Filter","inline","report_inline","UCSB Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 3776)","","",,"and",3,170,"UCSB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSB Risk Management Report",1,,,
"RF170-R2","Filter","inline","report_inline","UCSB Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSB')","","",,"and",3,170,"UCSB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSB Risk Management Report",2,,,
"RF171-R1","Filter","inline","report_inline","UCI User Group Categorization Report",1,"""Institution"".""Institution Name"" = 4701","","",,,1,171,"UCI User Group Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI User Group Categorization Report",1,,,
"RF174-R1","Filter","inline","report_inline","UCR eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (4706, 6531)","","",,"and",2,174,"UCR eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCR eResources Comparison Report",1,,,
"RF174-R2","Filter","inline","report_inline","UCR eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCR')","","",,"and",2,174,"UCR eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCR eResources Comparison Report",2,,,
"RF175-R1","Filter","inline","report_inline","UCR eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 4706","","",,,1,175,"UCR eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCR eResources Library Categorization Report",1,,,
"RF177-R1","Filter","inline","report_inline","UCR Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 4706)","","",,"and",3,177,"UCR Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",1,,,
"RF177-R2","Filter","inline","report_inline","UCR Library Categorization Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCR')","","",,"and",3,177,"UCR Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",2,,,
"RF178-R1","Filter","inline","report_inline","UCR Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (4706, 6531)","","",,"and",2,178,"UCR Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCR Electronic Holdings and Titles Report",1,,,
"RF178-R2","Filter","inline","report_inline","UCR Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCR')","","",,"and",2,178,"UCR Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCR Electronic Holdings and Titles Report",2,,,
"RF181-R1","Filter","inline","report_inline","UCLA Check-Out Type Categorization Report",1,"""Institution"".""Institution Name"" = 6533","","",,"and",1,181,"UCLA Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA Check-Out Type Categorization Report",1,,,
"RF181-R3","Filter","inline","report_inline","UCLA Check-Out Type Categorization Report",3,"""Loan Details"".""In House Loan Indicator"" = 'N'","","",,"and",1,181,"UCLA Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA Check-Out Type Categorization Report",3,,,
"RF182-R1","Filter","inline","report_inline","UCSC Physical Collection Usage",1,"""Institution"".""Institution Name"" = 4876","","",,"and",1,182,"UCSC Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSC Physical Collection Usage",1,,,
"RF182-R3","Filter","inline","report_inline","UCSC Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,182,"UCSC Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSC Physical Collection Usage",3,,,
"RF183-R1","Filter","inline","report_inline","UCSB eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (3776, 6531)","","",,"and",2,183,"UCSB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSB eResources Comparison Report",1,,,
"RF183-R2","Filter","inline","report_inline","UCSB eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSB')","","",,"and",2,183,"UCSB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSB eResources Comparison Report",2,,,
"RF184-R1","Filter","inline","report_inline","UCSC Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 4876)","","",,"and",3,184,"UCSC Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",1,,,
"RF184-R2","Filter","inline","report_inline","UCSC Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSC')","","",,"and",3,184,"UCSC Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",2,,,
"RF185-R1","Filter","inline","report_inline","UCSB Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (3776, 6531)","","",,"and",2,185,"UCSB Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSB Electronic Holdings and Titles Report",1,,,
"RF185-R2","Filter","inline","report_inline","UCSB Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSB')","","",,"and",2,185,"UCSB Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSB Electronic Holdings and Titles Report",2,,,
"RF186-R1","Filter","inline","report_inline","UCSB eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 3776","","",,,1,186,"UCSB eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCSB eResources Library Categorization Report",1,,,
"RF187-R1","Filter","inline","report_inline","UCSB Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 3776)","","",,"and",3,187,"UCSB Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSB Library Categorization Report",1,,,
"RF187-R2","Filter","inline","report_inline","UCSB Library Categorization Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSB')","","",,"and",3,187,"UCSB Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSB Library Categorization Report",2,,,
"RF188-R1","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 2",1,"""Institution"".""Institution Name"" = 6533","","",,"and",1,188,"SLF-S Added Physical Holdings and Titles Report part 2","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",1,,,
"RF188-R2","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 2",2,"""Location"".""Library Code"" IN ('NRLF', 'SRLF')","","",,"and",2,188,"SLF-S Added Physical Holdings and Titles Report part 2","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",2,,,
"RF188-R5","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 2",5,"""Physical Item Details"".""Barcode"" IN ('DD0004455382', 'DD0004455390', 'DD0004455408', 'DD0004455416', 'DD0004455424', 'DD0004455432', 'DD0004455440', 'DD0004455457', 'DD0004455465', 'DD0004455473', … (+9989 more))","","",,"or",9999,188,"SLF-S Added Physical Holdings and Titles Report part 2","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",5,,,
"RF188-R6","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 2",6,"""Physical Item Details"".""Barcode"" IN ('DD0004555389', 'DD0004555397', 'DD0004555405', 'DD0004555413', 'DD0004555421', 'DD0004555439', 'DD0004555447', 'DD0004555454', 'DD0004555462', 'DD0004555470', … (+9989 more))","","",,"or",9999,188,"SLF-S Added Physical Holdings and Titles Report part 2","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",6,,,
"RF188-R7","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 2",7,"""Physical Item Details"".""Barcode"" IN ('DD0004655445', 'DD0004655452', 'DD0004655460', 'DD0004655478', 'DD0004655486', 'DD0004655494', 'DD0004655502', 'DD0004655510', 'DD0004655528', 'DD0004655536', … (+5271 more))","","",,"or",5281,188,"SLF-S Added Physical Holdings and Titles Report part 2","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",7,,,
"RF189-R1","Filter","inline","report_inline","UCB physical holdings and titles report",1,"""Institution"".""Institution Name"" IN (6532, 6533)","","",,"and",2,189,"UCB physical holdings and titles report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",1,,,
"RF189-R2","Filter","inline","report_inline","UCB physical holdings and titles report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCB')","","",,"and",3,189,"UCB physical holdings and titles report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",2,,,
"RF190-R1","Filter","inline","report_inline","UCLA User Group Categorization Report",1,"""Institution"".""Institution Name"" = 6533","","",,,1,190,"UCLA User Group Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA User Group Categorization Report",1,,,
"RF191-R1","Filter","inline","report_inline","UCSD Risk Management Report",1,"""Institution"".""Institution Name"" IN (6535, 6532, 6533)","","",,"and",3,191,"UCSD Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",1,,,
"RF191-R2","Filter","inline","report_inline","UCSD Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSD')","","",,"and",3,191,"UCSD Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",2,,,
"RF193-R1","Filter","inline","report_inline","UCSC Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 4876)","","",,"and",3,193,"UCSC Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",1,,,
"RF193-R2","Filter","inline","report_inline","UCSC Library Categorization Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSC')","","",,"and",3,193,"UCSC Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",2,,,
"RF194-R1","Filter","inline","report_inline","UCSD Physical Collection Usage",1,"""Institution"".""Institution Name"" = 6535","","",,"and",1,194,"UCSD Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSD Physical Collection Usage",1,,,
"RF194-R3","Filter","inline","report_inline","UCSD Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,194,"UCSD Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSD Physical Collection Usage",3,,,
"RF196-R1","Filter","inline","report_inline","UCSC eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (4876, 6531)","","",,"and",2,196,"UCSC eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSC eResources Comparison Report",1,,,
"RF196-R2","Filter","inline","report_inline","UCSC eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSC')","","",,"and",2,196,"UCSC eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSC eResources Comparison Report",2,,,
"RF197-R1","Filter","inline","report_inline","UCSC Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (4876, 6531)","","",,"and",2,197,"UCSC Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSC Electronic Holdings and Titles Report",1,,,
"RF197-R2","Filter","inline","report_inline","UCSC Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSC')","","",,"and",2,197,"UCSC Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSC Electronic Holdings and Titles Report",2,,,
"RF198-R1","Filter","inline","report_inline","UCSC eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 4876","","",,,1,198,"UCSC eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCSC eResources Library Categorization Report",1,,,
"RF199-R1","Filter","inline","report_inline","UCD Physical Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (6532, 3126, 6533)","","",,"and",3,199,"UCD Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCD Physical Holdings and Titles Report",1,,,
"RF199-R2","Filter","inline","report_inline","UCD Physical Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCD')","","",,"and",3,199,"UCD Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCD Physical Holdings and Titles Report",2,,,
"RF201-R1","Filter","inline","report_inline","UCSD eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (6535, 6531)","","",,"and",2,201,"UCSD eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSD eResources Comparison Report",1,,,
"RF201-R2","Filter","inline","report_inline","UCSD eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSD')","","",,"and",2,201,"UCSD eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSD eResources Comparison Report",2,,,
"RF202-R1","Filter","inline","report_inline","UCM Check-Out Type Categorization Report",1,"""Institution"".""Institution Name"" = 6534","","",,"and",1,202,"UCM Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCM Check-Out Type Categorization Report",1,,,
"RF202-R3","Filter","inline","report_inline","UCM Check-Out Type Categorization Report",3,"""Loan Details"".""In House Loan Indicator"" = 'N'","","",,"and",1,202,"UCM Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCM Check-Out Type Categorization Report",3,,,
"RF204-R1","Filter","inline","report_inline","UCSD Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6535, 6532, 6533)","","",,"and",3,204,"UCSD Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSD Library Categorization Report",1,,,
"RF204-R2","Filter","inline","report_inline","UCSD Library Categorization Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSD')","","",,"and",3,204,"UCSD Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSD Library Categorization Report",2,,,
"RF205-R1","Filter","inline","report_inline","UCSF Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 6536)","","",,"and",3,205,"UCSF Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSF Risk Management Report",1,,,
"RF205-R2","Filter","inline","report_inline","UCSF Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSF')","","",,"and",3,205,"UCSF Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSF Risk Management Report",2,,,
