"rule_id","rule_type","source_type","record_scope","rule_name","rule_index","criterion_text","review_label","explanation","criterion_text_category","join_operator","value_count","report_catalog_index","report_title","report_path","report_filter_index","definition_catalog_index","definition_name","definition_path"
"RF35-R1","Filter","inline","report_inline","SLF-N Added Physical Holdings and Titles Report",1,"""Institution"".""Institution Name"" = 6532","","",,"and",1,35,"SLF-N Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-N Added Physical Holdings and Titles Report",1,,,
"RF35-R2","Filter","inline","report_inline","SLF-N Added Physical Holdings and Titles Report",2,"""Location"".""Library Code"" IN ('NRLF', 'SRLF')","","",,"and",2,35,"SLF-N Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-N Added Physical Holdings and Titles Report",2,,,
"RF37-R1","Filter","inline","report_inline","UCD Physical Collection Usage",1,"""Institution"".""Institution Name"" = 3126","","",,"and",1,37,"UCD Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCD Physical Collection Usage",1,,,
"RF37-R3","Filter","inline","report_inline","UCD Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,37,"UCD Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCD Physical Collection Usage",3,,,
"RF47-R1","Filter","inline","report_inline","UCD Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 3126, 6533)","","",,"and",3,47,"UCD Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCD Risk Management Report",1,,,
"RF47-R2","Filter","inline","report_inline","UCD Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCD')","","",,"and",3,47,"UCD Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCD Risk Management Report",2,,,
"RF51-R1","Filter","inline","report_inline","UCB Check-Out Type Categorization Report",1,"""Institution"".""Institution Name"" = 6532","","",,"and",1,51,"UCB Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCB Check-Out Type Categorization Report",1,,,
"RF51-R3","Filter","inline","report_inline","UCB Check-Out Type Categorization Report",3,"""Loan Details"".""In House Loan Indicator"" = 'N'","","",,"and",1,51,"UCB Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCB Check-Out Type Categorization Report",3,,,
"RF52-R1","Filter","inline","report_inline","UCD eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 3126","","",,,1,52,"UCD eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCD eResources Library Categorization Report",1,,,
"RF55-R1","Filter","inline","report_inline","UCD Library categorization report",1,"""Institution"".""Institution Name"" IN (6532, 3126, 6533)","","",,"and",3,55,"UCD Library categorization report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCD Library categorization report",1,,,
