"rule_name","criterion_text","review_label","explanation","criterion_text_category","rule_id","rule_type","source_workbook","join_operator","value_count"
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Q 1 098' AND 'Q 1 125'","","",,"F3-C40","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Q 1 127' AND 'Q 1 127'","","",,"F3-C41","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'RLF50225052' AND 'RLF50339951'","","",,"F3-C42","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'U 193' AND 'U 199'","","",,"F3-C43","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'U 200' AND 'U 209'","","",,"F3-C44","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'U 210' AND 'U 219'","","",,"F3-C45","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'U 220' AND 'U 229'","","",,"F3-C46","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'U 230' AND 'U 235'","","",,"F3-C47","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'V 23 086' AND 'V 23 350'","","",,"F3-C48","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'W 337 560' AND 'W 337 999'","","",,"F3-C49","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'W 338 000' AND 'W 338 999'","","",,"F3-C50","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'W 339 000' AND 'W 339 999'","","",,"F3-C51","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'W 340 000' AND 'W 340 999'","","",,"F3-C52","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'W 341 000' AND 'W 341 999'","","",,"F3-C53","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'W 342 000' AND 'W 342 723'","","",,"F3-C54","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'WC 34 094' AND 'WC 34 999'","","",,"F3-C55","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'WC 35 000' AND 'WC 35 067'","","",,"F3-C56","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'X 97 126' AND 'X 97 999'","","",,"F3-C57","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'X 98 000' AND 'X 98 480'","","",,"F3-C58","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Y 13 844' AND 'Y 13 930'","","",,"F3-C59","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Z 18 811' AND 'Z 18 996'","","",,"F3-C60","Filter","Filter Review","OR",0
