"catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
11,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCSB FY 2025-26 annual statistics NZ-level output","UCSB FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSB FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,18,14,48,48,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
12,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCI FY 2025-26 annual statistics NZ-level output","UCI FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCI FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,16,33,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
13,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCD preparation review reports dashboard","UCD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCD preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,7,21,33,15,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
14,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCM preparation review reports dashboard","UCM preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCM preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,21,5,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
15,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCI preparation review reports dashboard","UCI preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCI preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,4,11,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
16,"Annual Stats FY 2025-2026.catalog","UCB Risk Management Report","report","report","Risk Management","Risk Management","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report","queryitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,9,17,6,35,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",
17,"Annual Stats FY 2025-2026.catalog","SLF Physical Holdings and Titles Report","report","report","Physical","Physical","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,22,22,36,10,"22.4.0.0.4 (Build BIPS-20260309180128.86 )","Total holdings and titles at both SLF locations, by depositor"
18,"Annual Stats FY 2025-2026.catalog","All SLF Holdings","dashboard_page","dashboardPage","SLF FY 2025-26 annual statistics NZ-level output","SLF FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/SLF FY 2025-26 annual statistics NZ-level output/All SLF Holdings","dashboardpageitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,23,23,19,54,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
19,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCSB preparation review reports dashboard","UCSB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSB preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,45,0,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
20,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCLA preparation review reports dashboard","UCLA preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCLA preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,41,44,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
