"catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
75,"Annual Stats FY 2025-2026.catalog","UCM - eResources Comparison (details)","dashboard_page","dashboardPage","UCM FY 2025-26 annual statistics NZ-level output","UCM FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCM FY 2025-26 annual statistics NZ-level output/UCM - eResources Comparison (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,39,9,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
76,"Annual Stats FY 2025-2026.catalog","UCLA - Electronic (details)","dashboard_page","dashboardPage","UCLA FY 2025-26 annual statistics NZ-level output","UCLA FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCLA FY 2025-26 annual statistics NZ-level output/UCLA - Electronic (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,35,7,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
77,"Annual Stats FY 2025-2026.catalog","Fulfillment - Check-out Type","dashboard_page","dashboardPage","UCSD preparation review reports dashboard","UCSD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSD preparation review reports dashboard/Fulfillment - Check-out Type","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,21,22,9,31,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
78,"Annual Stats FY 2025-2026.catalog","UCD - Electronic (details)","dashboard_page","dashboardPage","UCD FY 2025-26 annual statistics NZ-level output","UCD FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCD FY 2025-26 annual statistics NZ-level output/UCD - Electronic (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,30,26,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
79,"Annual Stats FY 2025-2026.catalog","eResources - Library Categories","dashboard_page","dashboardPage","UCR preparation review reports dashboard","UCR preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCR preparation review reports dashboard/eResources - Library Categories","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,35,18,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
80,"Annual Stats FY 2025-2026.catalog","Fulfillment - Check-out Type","dashboard_page","dashboardPage","UCM preparation review reports dashboard","UCM preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCM preparation review reports dashboard/Fulfillment - Check-out Type","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,21,52,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
81,"Annual Stats FY 2025-2026.catalog","UCSF - Electronic (details)","dashboard_page","dashboardPage","UCSF FY 2025-26 annual statistics NZ-level output","UCSF FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSF FY 2025-26 annual statistics NZ-level output/UCSF - Electronic (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,22,36,19,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
82,"Annual Stats FY 2025-2026.catalog","UCR - eResources Comparison (details)","dashboard_page","dashboardPage","UCR FY 2025-26 annual statistics NZ-level output","UCR FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCR FY 2025-26 annual statistics NZ-level output/UCR - eResources Comparison (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,45,37,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
83,"Annual Stats FY 2025-2026.catalog","UCI Library Categorization Report","report","report","Physical preparation review reports","Physical preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,2,23,59,10,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
84,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCSB preparation review reports dashboard","UCSB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSB preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,46,0,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
85,"Annual Stats FY 2025-2026.catalog","UCI eResources Library Categorization Report","report","report","Electronic preparation review reports","Electronic preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCI eResources Library Categorization Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,23,23,33,58,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
86,"Annual Stats FY 2025-2026.catalog","Fulfillment - Check-out Type","dashboard_page","dashboardPage","UCSC preparation review reports dashboard","UCSC preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSC preparation review reports dashboard/Fulfillment - Check-out Type","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,21,22,7,6,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
87,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCM preparation review reports dashboard","UCM preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCM preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,21,58,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
88,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCLA preparation review reports dashboard","UCLA preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCLA preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,49,26,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
89,"Annual Stats FY 2025-2026.catalog","UCD Check-Out Type Categorization Report","report","report","Fulfillment preparation review reports","Fulfillment preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD Check-Out Type Categorization Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,15,43,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
90,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCB preparation review reports dashboard","UCB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCB preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,50,2,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
91,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCSD preparation review reports dashboard","UCSD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSD preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,21,22,9,54,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
92,"Annual Stats FY 2025-2026.catalog","UCI Electronic Holdings and Titles Report","report","report","Electronic","Electronic","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report","queryitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,4,18,50,6,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
93,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Group","dashboard_page","dashboardPage","UCD preparation review reports dashboard","UCD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCD preparation review reports dashboard/Fulfillment - User Group","dashboardpageitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,7,21,35,43,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
94,"Annual Stats FY 2025-2026.catalog","UCD","dashboard_page","dashboardPage","All campus - Electronic Holdings and Titles reports (for troubleshooting)","All campus - Electronic Holdings and Titles reports (for troubleshooting)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/All campus - Electronic Holdings and Titles reports (for troubleshooting)/UCD","dashboardpageitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,4,22,55,51,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
95,"Annual Stats FY 2025-2026.catalog","UCLA Risk Management Report","report","report","Risk Management","Risk Management","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCLA Risk Management Report","queryitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,9,15,38,3,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
96,"Annual Stats FY 2025-2026.catalog","UCLA Physical Collection Usage","report","report","Physical Collection Usage","Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCLA Physical Collection Usage","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,3,23,54,11,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
97,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCI preparation review reports dashboard","UCI preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCI preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,7,18,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
98,"Annual Stats FY 2025-2026.catalog","UCLA - eResources Comparison (details)","dashboard_page","dashboardPage","UCLA FY 2025-26 annual statistics NZ-level output","UCLA FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCLA FY 2025-26 annual statistics NZ-level output/UCLA - eResources Comparison (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,35,21,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
99,"Annual Stats FY 2025-2026.catalog","Fulfillment - Check-out Type","dashboard_page","dashboardPage","UCSF preparation review reports dashboard","UCSF preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSF preparation review reports dashboard/Fulfillment - Check-out Type","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,14,17,31,3,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
100,"Annual Stats FY 2025-2026.catalog","Electronic - UCD eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCD eResources Managed By designator","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,36,0,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
101,"Annual Stats FY 2025-2026.catalog","UCB - eResources Comparison (details)","dashboard_page","dashboardPage","UCB FY 2025-26 annual statistics NZ-level output","UCB FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCB FY 2025-26 annual statistics NZ-level output/UCB - eResources Comparison (details)","dashboardpageitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,15,18,36,6,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
102,"Annual Stats FY 2025-2026.catalog","UCM - Physical (details)","dashboard_page","dashboardPage","UCM FY 2025-26 annual statistics NZ-level output","UCM FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCM FY 2025-26 annual statistics NZ-level output/UCM - Physical (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,39,19,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
103,"Annual Stats FY 2025-2026.catalog","UCSF - eResources Comparison (details)","dashboard_page","dashboardPage","UCSF FY 2025-26 annual statistics NZ-level output","UCSF FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSF FY 2025-26 annual statistics NZ-level output/UCSF - eResources Comparison (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,22,37,4,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
104,"Annual Stats FY 2025-2026.catalog","UCSC - Physical (details)","dashboard_page","dashboardPage","UCSC FY 2025-26 annual statistics NZ-level output","UCSC FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSC FY 2025-26 annual statistics NZ-level output/UCSC - Physical (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,42,28,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
105,"Annual Stats FY 2025-2026.catalog","UCI eResources Comparison Report","report","report","eResources Comparison","eResources Comparison","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report","queryitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,9,17,24,18,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
106,"Annual Stats FY 2025-2026.catalog","UCSB - Physical (details)","dashboard_page","dashboardPage","UCSB FY 2025-26 annual statistics NZ-level output","UCSB FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSB FY 2025-26 annual statistics NZ-level output/UCSB - Physical (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,18,14,49,44,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
107,"Annual Stats FY 2025-2026.catalog","UCSD - eResources Comparison (details)","dashboard_page","dashboardPage","UCSD FY 2025-26 annual statistics NZ-level output","UCSD FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSD FY 2025-26 annual statistics NZ-level output/UCSD - eResources Comparison (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,22,27,28,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
108,"Annual Stats FY 2025-2026.catalog","UCI - Physical (details)","dashboard_page","dashboardPage","UCI FY 2025-26 annual statistics NZ-level output","UCI FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCI FY 2025-26 annual statistics NZ-level output/UCI - Physical (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,22,22,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
109,"Annual Stats FY 2025-2026.catalog","SLF-S added (pt 1 and 2)","dashboard_page","dashboardPage","SLF FY 2025-26 annual statistics NZ-level output","SLF FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/SLF FY 2025-26 annual statistics NZ-level output/SLF-S added (pt 1 and 2)","dashboardpageitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,23,23,19,5,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",
110,"Annual Stats FY 2025-2026.catalog","UCD - eResources Comparison (details)","dashboard_page","dashboardPage","UCD FY 2025-26 annual statistics NZ-level output","UCD FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCD FY 2025-26 annual statistics NZ-level output/UCD - eResources Comparison (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,31,18,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
111,"Annual Stats FY 2025-2026.catalog","Fulfillment - Check-out Type","dashboard_page","dashboardPage","UCR preparation review reports dashboard","UCR preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCR preparation review reports dashboard/Fulfillment - Check-out Type","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,35,29,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
112,"Annual Stats FY 2025-2026.catalog","UCR - Physical (details)","dashboard_page","dashboardPage","UCR FY 2025-26 annual statistics NZ-level output","UCR FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCR FY 2025-26 annual statistics NZ-level output/UCR - Physical (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,45,43,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
113,"Annual Stats FY 2025-2026.catalog","UCLA Library Categorization Report","report","report","Physical preparation review reports","Physical preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,3,20,14,2,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
114,"Annual Stats FY 2025-2026.catalog","Electronic - UCI eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCI eResources Managed By designator","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,34,34,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
115,"Annual Stats FY 2025-2026.catalog","Physical Items - Library Categories","dashboard_page","dashboardPage","UCLA preparation review reports dashboard","UCLA preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCLA preparation review reports dashboard/Physical Items - Library Categories","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,49,9,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
116,"Annual Stats FY 2025-2026.catalog","UCD User Group Categorization Report","report","report","Fulfillment preparation review reports","Fulfillment preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD User Group Categorization Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,6,22,6,58,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
117,"Annual Stats FY 2025-2026.catalog","Physical Items - Library Categories","dashboard_page","dashboardPage","UCB preparation review reports dashboard","UCB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCB preparation review reports dashboard/Physical Items - Library Categories","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,49,25,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
118,"Annual Stats FY 2025-2026.catalog","Physical Items - Library Categories","dashboard_page","dashboardPage","UCSB preparation review reports dashboard","UCSB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSB preparation review reports dashboard/Physical Items - Library Categories","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,45,48,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
119,"Annual Stats FY 2025-2026.catalog","UCLA Electronic Holdings and Titles Report","report","report","Electronic","Electronic","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report","queryitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,3,17,26,35,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
120,"Annual Stats FY 2025-2026.catalog","Fulfillment - User Groups","dashboard_page","dashboardPage","UCSF preparation review reports dashboard","UCSF preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSF preparation review reports dashboard/Fulfillment - User Groups","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,14,17,31,39,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
